age,bedroom,city,date,func,latitude,location,longitude,meterage,parking,price,price_per_meter,properties,region,region_city_loc,title,type
"20,  ساله","1,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"55,  متر","0,  پارکینگ",5.3 میلیارد,,مسکونی,,تهران ، منطقه 6 ، یوسف اباد,آپارتمان 55 متری جهان آرا ,مسکونی
 ساله,"2,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"126,  متر","1,  پارکینگ",18.3 میلیارد,144.8 میلیون,مسکونی,,تهران ، منطقه 6 ، یوسف اباد,126متر دو خواب نوساز از سازنده ای به نام,مسکونی
"2,  ساله","2,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"112,  متر","1,  پارکینگ",16.3 میلیارد,145 میلیون,مسکونی,,تهران ، منطقه 6 ، یوسف اباد,یوسف اباد/112متر2خواب/بسیار شیک,مسکونی
"7,  ساله","2,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"112,  متر","2,  پارکینگ",14.7 میلیارد,131 میلیون,مسکونی,,تهران ، منطقه 6 ، یوسف اباد,فروش آپارتمان 112 متری در یوسف آباد,مسکونی
 ساله,"2,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"75,  متر","1,  پارکینگ",9.4 میلیارد,125 میلیون,مسکونی,,تهران ، منطقه 5 ، شهران جنوبی,70 متر *نوساز کلید نخورده* سازه لوکس منطقه,مسکونی
"5,  ساله","2,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"77,  متر","1,  پارکینگ",7 میلیارد,90.5 میلیون,مسکونی,,تهران ، منطقه 2 ، ستارخان,ستارخان 77متری فول امکانات,مسکونی
"19,  ساله","2,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"80,  متر","1,  پارکینگ",5.5 میلیارد,69 میلیون,مسکونی,,تهران ، منطقه 2 ، ستارخان,ستارخان 80متر 2خواب نورگیر دو کله,مسکونی
"12,  ساله","2,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"100,  متر","1,  پارکینگ",20 میلیارد,200 میلیون,مسکونی,,تهران ، منطقه 1 ، کامرانیه,100متر/ثروتی/نوسازی شده/ویو روبه شهر,مسکونی
"20,  ساله","2,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"95,  متر","1,  پارکینگ",6.7 میلیارد,70 میلیون,مسکونی,,تهران ، منطقه 2 ، ستارخان,ستارخان 95متر2خواب تک واحدی,مسکونی
"11,  ساله","1,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"53,  متر","1,  پارکینگ",3.3 میلیارد,62.6 میلیون,مسکونی,,تهران ، منطقه 2 ، ستارخان,53متر سرمایه گذاری,مسکونی
"5,  ساله","2,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"91,  متر","1,  پارکینگ",8.7 میلیارد,96 میلیون,مسکونی,,تهران ، منطقه 2 ، ستارخان,ستارخان 91 متر 2خواب فول امکانات,مسکونی
"20,  ساله","2,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"71,  متر","1,  پارکینگ",0,,مسکونی,,تهران ، منطقه 2 ، ستارخان,ستارخان 71متر 2 خواب فول امکانات,مسکونی
"23,  ساله","2,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"82,  متر","1,  پارکینگ",8.3 میلیارد,101 میلیون,مسکونی,,تهران ، منطقه 5 ، اباذر,82 متر 2 خواب فول بازسازی پیامبر,مسکونی
"23,  ساله","2,  خوابه",,40 دقیقه پیش,آپارتمان/برج,35.731939,,51.4127613,"66,  متر","1,  پارکینگ",5.6 میلیارد,83 میلیون,مسکونی,,تهران ، منطقه 5 ، فردوس,66 متر/سالن پرده خور/فول بازسازی/نقشه بی نظیر,مسکونی
"20,  ساله","1,  خوابه",,39 دقیقه پیش,آپارتمان/برج,35.731939,,51.4127613,"68,  متر","1,  پارکینگ",5.4 میلیارد,80 میلیون,مسکونی,,تهران ، منطقه 5 ، فردوس,68 متر 1 خواب  فردوس شرق,مسکونی
"13,  ساله","3,  خوابه",,39 دقیقه پیش,آپارتمان/برج,35.731939,,51.4127613,"123,  متر","1,  پارکینگ",13 میلیارد,,مسکونی,,تهران ، منطقه 2 ، مرزداران,فروش آپارتمان3 خوابه در مرزداران - منطقه 2 ,مسکونی
"9,  ساله","2,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"93,  متر","1,  پارکینگ",10.9 میلیارد,,مسکونی,,تهران ، منطقه 2 ، مرزداران,فروش آپارتمان 2 خوابه در مرزداران - منطقه 2 ,مسکونی
"7,  ساله","2,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"98,  متر","1,  پارکینگ",9.8 میلیارد,,مسکونی,,تهران ، منطقه 2 ، ستارخان,اپارتمان 98متر فول ستارخان,مسکونی
"6,  ساله","2,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"98,  متر","1,  پارکینگ",8 میلیارد,,مسکونی,,تهران ، منطقه 2 ، ستارخان,98 متر   2خواب   (سرمایه گذاری),مسکونی
"10,  ساله","1,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"50,  متر","1,  پارکینگ",5.2 میلیارد,104 میلیون,مسکونی,,تهران ، منطقه 2 ، ستارخان,50 متر   1خواب     تک واحدی,مسکونی
"10,  ساله","2,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"95,  متر","1,  پارکینگ",11.1 میلیارد,117 میلیون,مسکونی,,تهران ، منطقه 2 ، ارمکان,95متر /ارمکان,مسکونی
"24,  ساله","2,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"80,  متر","1,  پارکینگ",5.8 میلیارد,73 میلیون,مسکونی,,تهران ، منطقه 2 ، دریان نو,80 متر    2خواب  (دریان نو ),مسکونی
"17,  ساله","2,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"62,  متر","1,  پارکینگ",5.2 میلیارد,,مسکونی,,تهران ، منطقه 2 ، مرزداران,62متر 2خواب (شمال مرزداران),مسکونی
"8,  ساله","2,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"100,  متر","1,  پارکینگ",12.5 میلیارد,,مسکونی,,تهران ، منطقه 2 ، مرزداران غربی,100متر شمال مرزداران/تکواحدی ,مسکونی
"1,  ساله","3,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"135,  متر","1,  پارکینگ",15.7 میلیارد,,مسکونی,,تهران ، منطقه 2 ، ستارخان,135 متر   نور نقشه عالی   (تاپ لوکیشن),مسکونی
"2,  ساله","2,  خوابه",,2 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"85,  متر","1,  پارکینگ",6 میلیارد,70.6 میلیون,مسکونی,,تهران ، منطقه 12 ، دروازه شمیران,پیچ شمیران کفایی امانی 85 متری کلید نخورده,مسکونی
 ساله,"2,  خوابه",,2 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"72,  متر"," پارکینگ, 23",5 میلیارد,,مسکونی,,تهران ، منطقه 7 ، بهار,اپارتمان 72 متر طبقه اول بهار شمالی هفت تیر,مسکونی
 ساله,"2,  خوابه",,2 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"110,  متر","1,  پارکینگ",16.5 میلیارد,150 میلیون,مسکونی,,تهران ، منطقه 7 ، سهروردی شمالی,فروش آپارتمان 2 خوابه در سهروردی شمالی,مسکونی
"14,  ساله","2,  خوابه",,2 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"80,  متر","1,  پارکینگ",8.4 میلیارد,105 میلیون,مسکونی,,تهران ، منطقه 7 ، سهروردی شمالی,فروش آپارتمان/برج 2 خوابه در سهروردی شمالی,مسکونی
 ساله,"3,  خوابه",,2 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"128,  متر","1,  پارکینگ",16.6 میلیارد,130 میلیون,مسکونی,,تهران ، منطقه 6 ، سنایی,128متر 3خوابه نوساز مشاهیر فرعی دنج,مسکونی
"2,  ساله","1,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"42,  متر","1,  پارکینگ",3.3 میلیارد,,مسکونی,,تهران ، منطقه 7 ، ارامنه,42 متر / فول امکانات / تک واحدی/ ماندگار,مسکونی
 ساله,"2,  خوابه",,2 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"110,  متر","1,  پارکینگ",11.3 میلیارد,,مسکونی,,تهران ، منطقه 6 ، نجات الهی,110 متر 2نبش آفتابگیر نوساز خوش نقشه. ویلا,مسکونی
"14,  ساله","1,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"50,  متر","1,  پارکینگ",3.6 میلیارد,72 میلیون,مسکونی,,تهران ، منطقه 13 ، پیروزی - دهقان,فروش آپارتمان 1 خوابه در پیروزی - دهقان - منطقه 13 ,مسکونی
 ساله,"2,  خوابه",,2 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"78,  متر"," پارکینگ, 25",6 میلیارد,77 میلیون,مسکونی,,تهران ، منطقه 7 ، سه راه طالقانی,فروش آپارتمان/برج 2 خوابه در سه راه طالقانی,مسکونی
"25,  ساله","2,  خوابه",,2 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"78,  متر","1,  پارکینگ",0,,مسکونی,,تهران ، منطقه 2 ، شهرک غرب,آپارتمان 78 متری  دوخواب سعادت آباد,مسکونی
 ساله,"1,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"50,  متر"," پارکینگ, 19",2.5 میلیارد,50 میلیون,مسکونی,,تهران ، منطقه 7 ، حشمتیه‎,50متر/ یک خواب / حیاط خلوت /بازسازی کامل,مسکونی
"7,  ساله","3,  خوابه",,2 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"205,  متر","2,  پارکینگ",50 میلیارد,250 میلیون,مسکونی,,تهران ، منطقه 1 ، فرمانیه,آپارتمان 205 متری  فرمانیه,مسکونی
"15,  ساله","3,  خوابه",,2 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"141,  متر","1,  پارکینگ",22.6 میلیارد,160 میلیون,مسکونی,,تهران ، منطقه 1 ، اقدسیه,آپارتمان 141 متری  در  اقدسیه,مسکونی
 ساله,"3,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"118,  متر","1,  پارکینگ",7.7 میلیارد,,مسکونی,,تهران ، منطقه 7 ، حشمتیه‎,آپارتمان 118 متری نوساز/ کلید نخورده/ فول,مسکونی
"18,  ساله","4,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"190,  متر","1,  پارکینگ",21 میلیارد,,مسکونی,,تهران ، منطقه 2 ، سعادت اباد,"190 متر, سعادت آباد, 4 خواب, مرواریدها ",مسکونی
"16,  ساله","1,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"80,  متر","1,  پارکینگ",12.3 میلیارد,164 میلیون,مسکونی,,تهران ، منطقه 3 ، جردن,جردن ولیعصر 80 متر 1 خواب ویو عالی,مسکونی
"9,  ساله","3,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"125,  متر","3,  پارکینگ",18 میلیارد,150 میلیون,مسکونی,,تهران ، منطقه 3 ، جردن,جردن ولیعصر روبروی پارک ملت 125 متر 3 خواب 3 پارکینگ ,مسکونی
,"1,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"52,  متر"," پارکینگ,  ساله",2.9 میلیارد,,مسکونی,,تهران ، منطقه 7 ، اجاره دار,فروش آپارتمان 1 خوابه در اجاره دار - منطقه 7 ,مسکونی
,"4,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"220,  متر"," پارکینگ,  ساله",20.9 میلیارد,95 میلیون,مسکونی,,تهران ، منطقه 7 ، ارامنه,220متر/دوپلاک/بافت فرسوده/سبلان,مسکونی
"19,  ساله","2,  خوابه",,2 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"76,  متر","1,  پارکینگ",5.6 میلیارد,73 میلیون,مسکونی,,تهران ، منطقه 5 ، باغ فیض,فروش آپارتمان/برج 2 خوابه در باغ فیض ,مسکونی
"10,  ساله","1,  خوابه",,2 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"63,  متر","1,  پارکینگ",6.8 میلیارد,107 میلیون,مسکونی,,تهران ، منطقه 5 ، بلوار کمالی,"آپارتمان63متر, فول امکانات , اکازیون ",مسکونی
 ساله,"2,  خوابه",,2 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"75,  متر","1,  پارکینگ",7.5 میلیارد,100 میلیون,مسکونی,,تهران ، منطقه 4 ، شمس اباد - مجیدیه,"75متر آپارتمان,  دنج  , شمس اباد ",مسکونی
"1,  ساله","3,  خوابه",,2 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"130,  متر","1,  پارکینگ",20 میلیارد,153.8 میلیون,مسکونی,,تهران ، منطقه 1 ، میدان قدس,فروش برج 3 خوابه در میدان قدس ,مسکونی
 ساله,"2,  خوابه",,2 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"92,  متر","1,  پارکینگ",13.8 میلیارد,150 میلیون,مسکونی,,تهران ، منطقه 4 ، خواجه عبدالله انصاری,آپارتمان 92متر 2 خواب (بدون مشابه در منطقه) ,مسکونی
 ساله,"1,  خوابه",,2 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"71,  متر","1,  پارکینگ",10.7 میلیارد,150 میلیون,مسکونی,,تهران ، منطقه 4 ، خواجه عبدالله انصاری,آپارتمان71متری 1خوابه ,مسکونی
 ساله,"1,  خوابه",,2 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"70,  متر"," پارکینگ, 20",11 میلیارد,150 میلیون,مسکونی,,تهران ، منطقه 1 ، کامرانیه,الهیه/فرشته /سرمایه گذاری ,مسکونی
 ساله,"2,  خوابه",,2 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"72,  متر","1,  پارکینگ",10 میلیارد,,مسکونی,,تهران ، منطقه 3 ، جلفا,آپارتمان 72متری 2خوابه سیدخندان (جلفا) ,مسکونی
 ساله,"3,  خوابه",,2 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"165,  متر","2,  پارکینگ",21.9 میلیارد,132.5 میلیون,مسکونی,,تهران ، منطقه 4 ، خواجه عبدالله انصاری,"آپارتمان 165متری,3خوابه(سید خندان) ",مسکونی
"10,  ساله","2,  خوابه",,2 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"100,  متر","1,  پارکینگ",12.5 میلیارد,125 میلیون,مسکونی,,تهران ، منطقه 4 ، خواجه عبدالله انصاری,"آپارتمان 100متری,2 خوابه (خواجه عبدالله) ",مسکونی
 ساله,"3,  خوابه",,2 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"290,  متر","4,  پارکینگ",60.9 میلیارد,210 میلیون,مسکونی,,تهران ، منطقه 3 ، جردن,290 متر تک واحدی نوساز 4 پارکینگ ,مسکونی
"13,  ساله","2,  خوابه",,2 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"75,  متر","1,  پارکینگ",7.9 میلیارد,105.4 میلیون,مسکونی,,تهران ، منطقه 7 ، سهروردی - باغ صبا,فروش آپارتمان/برج 2 خوابه در سهروردی ,مسکونی
"3,  ساله","3,  خوابه",,2 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"105,  متر","1,  پارکینگ",8.4 میلیارد,80 میلیون,مسکونی,,تهران ، منطقه 5 ، شهران جنوبی,105متر/3خوابه/غرق نور/سالن وسیع/برج مدرن/تاپ لوکیشن,مسکونی
 ساله,"1,  خوابه",,2 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"40,  متر"," پارکینگ, 18",4 میلیارد,100 میلیون,مسکونی,,تهران ، منطقه 7 ، مجیدیه - دبستان,فروش آپارتمان  40 متری در دبستان,مسکونی
 ساله,"2,  خوابه",,2 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"95,  متر"," پارکینگ, 30",8.7 میلیارد,92 میلیون,مسکونی,,تهران ، منطقه 7 ، مجیدیه - دبستان,فروش آپارتمان2 خوابه در مجیدیه - دبستان,مسکونی
"5,  ساله","2,  خوابه",,2 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"106,  متر","1,  پارکینگ",8.8 میلیارد,83 میلیون,مسکونی,,تهران ، منطقه 7 ، مجیدیه - دبستان,فروش آپارتمان/برج 2 خوابه در مجیدیه - دبستان,مسکونی
"12,  ساله","1,  خوابه",,2 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"67,  متر","1,  پارکینگ",7.4 میلیارد,110 میلیون,مسکونی,,تهران ، منطقه 7 ، عباس اباد - اندیشه,فروش آپارتمان/1 خوابه در عباس اباد - اندیشه فول,مسکونی
"20,  ساله","2,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"96,  متر","1,  پارکینگ",7.8 میلیارد,81 میلیون,مسکونی,,تهران ، منطقه 7 ، سهروردی شمالی,فروش آپارتمان2 خوابه در سهروردی شمالی,مسکونی
 ساله,"3,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"180,  متر"," پارکینگ, 35",16.9 میلیارد,94 میلیون,مسکونی,,تهران ، منطقه 7 ، سهروردی شمالی,فروش آپارتمان/برج 3 خوابه در سهروردی شمالی,مسکونی
 ساله,"2,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"102,  متر","2,  پارکینگ",11.2 میلیارد,110 میلیون,مسکونی,,تهران ، منطقه 7 ، مجیدیه - دبستان,فروش آپارتمان/برج 2 خوابه در - دبستان,مسکونی
"4,  ساله","3,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"130,  متر","1,  پارکینگ",19 میلیارد,146 میلیون,مسکونی,,تهران ، منطقه 7 ، سهروردی شمالی,فروش آپارتمان/برج 3 خوابه در سهروردی شمالی,مسکونی
"20,  ساله","2,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"113,  متر","1,  پارکینگ",11.9 میلیارد,105 میلیون,مسکونی,,تهران ، منطقه 7 ، سهروردی شمالی,فروش آپارتمان 2 خوابه در سهروردی شمالی نوبخت,مسکونی
"2,  ساله","2,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"92,  متر","1,  پارکینگ",12.9 میلیارد,140 میلیون,مسکونی,,تهران ، منطقه 7 ، سهروردی شمالی,فروش آپارتمان2 خوابه 92 متری در سهروردی شمالی,مسکونی
"20,  ساله","2,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"109,  متر","1,  پارکینگ",12 میلیارد,110 میلیون,مسکونی,,تهران ، منطقه 7 ، سهروردی شمالی,فروش آپارتمان 2 خوابه در سهروردی شمالی بهترین زمان برای خرید,مسکونی
"5,  ساله","2,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"101,  متر","1,  پارکینگ",16.7 میلیارد,165 میلیون,مسکونی,,تهران ، منطقه 7 ، سهروردی شمالی,فروش آپارتمان/ 2 خوابه در سهروردی شمالی,مسکونی
"20,  ساله","2,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"113,  متر","1,  پارکینگ",12.5 میلیارد,110.7 میلیون,مسکونی,,تهران ، منطقه 7 ، سهروردی شمالی,فروش آپارتمان 2 خوابه در سهروردی شمالی عربعلی ,مسکونی
"12,  ساله","2,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"86,  متر","1,  پارکینگ",8.9 میلیارد,104 میلیون,مسکونی,,تهران ، منطقه 7 ، سهروردی شمالی,فروش آپارتمان/برج 2 خوابه در سهروردی شمالی,مسکونی
 ساله,"2,  خوابه",,2 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"95,  متر","2,  پارکینگ",0,,مسکونی,,تهران ، منطقه 6 ، گاندی جنوبی,95 متر دو خواب نوساز گاندی افریقا,مسکونی
"17,  ساله","1,  خوابه",,2 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"61,  متر","1,  پارکینگ",5.9 میلیارد,96 میلیون,مسکونی,,تهران ، منطقه 7 ، سهروردی شمالی,فروش آپارتمان/برج 1 خوابه در سهروردی شمالی - 61 متری منطقه 7 ,مسکونی
"3,  ساله","2,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"110,  متر","1,  پارکینگ",17.4 میلیارد,158 میلیون,مسکونی,,تهران ، منطقه 7 ، سهروردی شمالی,سهروردی شمالی110 متر دو خواب ,مسکونی
"1,  ساله","1,  خوابه",,2 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"150,  متر","3,  پارکینگ",30.8 میلیارد,205 میلیون,مسکونی,,تهران ، منطقه 3 ، جردن,150 متر 3 خواب شمال جردن 2پارکینگ ,مسکونی
 ساله,"2,  خوابه",,2 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"88,  متر","1,  پارکینگ",0,,مسکونی,,تهران ، منطقه 6 ، گاندی جنوبی,"88 متر 2خواب نوساز یونیک گاندی افریقا
",مسکونی
"10,  ساله","1,  خوابه",,2 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"52,  متر","1,  پارکینگ",5.9 میلیارد,114 میلیون,مسکونی,,تهران ، منطقه 7 ، سهروردی شمالی,سهروردی شمالی 52 متر فول بدون مشابه,مسکونی
"5,  ساله","3,  خوابه",,2 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"114,  متر","1,  پارکینگ",14.8 میلیارد,129.8 میلیون,مسکونی,,تهران ، منطقه 7 ، سهروردی شمالی,فروش آپارتمان/برج 3 خوابه در سهروردی شمالی,مسکونی
 ساله,"3,  خوابه",,3 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"155,  متر","2,  پارکینگ",31 میلیارد,200 میلیون,مسکونی,,تهران ، منطقه 1 ، ازگل,155 متر برج باغ مجلل,مسکونی
"14,  ساله","2,  خوابه",,3 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"89,  متر","1,  پارکینگ",11 میلیارد,,مسکونی,,تهران ، منطقه 1 ، ازگل,واحدی 89متری,مسکونی
